Sentence,Label
"Yeni tasarım taslağı onaylandı, uygulamaya geçebiliriz.",ham
Bu mucizevi ürünle 14 günde saçlarınızı geri kazanın!,spam
Yeni kullanıcı kaydı başarıyla tamamlandı.,ham
Bu mucizevi ürünle 11 günde saçlarınızı geri kazanın!,spam
"Kredi kartı bilginizi güncelleyin, aksi takdirde hesabınız kapanacak.",spam
Hemen kaydolun ve 1 aylık üyelik kazanın!,spam
Evden çalışarak 7000 TL kazanmak mümkün!,spam
Bugünkü müşteri geri bildirimi oldukça olumluydu.,ham
Toplantının notlarını e-posta olarak gönderdim.,ham
Evden çalışarak 1000 TL kazanmak mümkün!,spam
Sadece bugün: 98% indirim seni bekliyor!,spam
Sadece bugün: 54% indirim seni bekliyor!,spam
"Ekibimize hoş geldin, umarım harika bir başlangıç yaparsın.",ham
"Facebook hesabınız askıya alındı, doğrulamak için tıklayın.",spam
"Yeni versiyonu test ettik, birkaç küçük hata dışında her şey stabil.",ham
Tebrikler! Macbook kazandınız!,spam
Sadece bugün: 96% indirim seni bekliyor!,spam
"Toplantıyı saat 14:00’e aldık, lütfen ajandanı güncelle.",ham
"e-Devlet hesabınız askıya alındı, doğrulamak için tıklayın.",spam
Evden çalışarak 7500 TL kazanmak mümkün!,spam
Bu mucizevi ürünle 3 günde cildinizi gençleştirin!,spam
Sadece bugün: 99% indirim seni bekliyor!,spam
Sunucu bakım çalışması tamamlandı.,ham
"Stok durumu güncellendi, sistemden kontrol edebilirsin.",ham
"Stok durumu güncellendi, sistemden kontrol edebilirsin.",ham
Slack üzerinden dosyayı paylaştım.,ham
"Stok durumu güncellendi, sistemden kontrol edebilirsin.",ham
"Yeni versiyonu test ettik, birkaç küçük hata dışında her şey stabil.",ham
Evden çalışarak 2500 TL kazanmak mümkün!,spam
Pazartesi günü için görev ataması yapıldı.,ham
Sadece bugün: 69% indirim seni bekliyor!,spam
Sadece bugün: 70% indirim seni bekliyor!,spam
Veritabanı yedeği başarıyla alındı.,ham
Müşteri sunumu için slaytlar hazırlandı.,ham
"Bütçe revizyonunu yaptım, tabloları drive'a yükledim.",ham
Tebrikler! iPhone 15 kazandınız!,spam
Sadece bugün: 64% indirim seni bekliyor!,spam
"Bu anketi doldurun, hediye çeki kazanın!",spam
Sadece bugün: 56% indirim seni bekliyor!,spam
Pazartesi günü için görev ataması yapıldı.,ham
Bugünkü müşteri geri bildirimi oldukça olumluydu.,ham
Bu mucizevi ürünle 10 günde cildinizi gençleştirin!,spam
Veritabanı yedeği başarıyla alındı.,ham
Sadece bugün: 79% indirim seni bekliyor!,spam
Yeni özellik önümüzdeki sürümde aktif olacak.,ham
Sadece bugün: 97% indirim seni bekliyor!,spam
Pazartesi günü için görev ataması yapıldı.,ham
Bu mucizevi ürünle 9 günde saçlarınızı geri kazanın!,spam
Cihazın yazılım güncellemesi başarılı.,ham
Bu mucizevi ürünle 7 günde saçlarınızı geri kazanın!,spam
Sadece bugün: 80% indirim seni bekliyor!,spam
e-Devlet girişiniz başarısız oldu. Şifrenizi yenileyin!,spam
Slack üzerinden dosyayı paylaştım.,ham
Evden çalışarak 500 TL kazanmak mümkün!,spam
Çalışma arkadaşlarımızla yıl sonu yemeği organize edeceğiz.,ham
Bu mucizevi ürünle 9 günde 5 kilo verin!,spam
Sadece bugün: 59% indirim seni bekliyor!,spam
"Bu anketi doldurun, 25 TL kazanın!",spam
"Sipariş kargoya verildi, takip numarası eklendi.",ham
Yeni özellik önümüzdeki sürümde aktif olacak.,ham
Sadece bugün: 77% indirim seni bekliyor!,spam
Sadece bugün: 82% indirim seni bekliyor!,spam
Bu mucizevi ürünle 8 günde cildinizi gençleştirin!,spam
Evden çalışarak 4000 TL kazanmak mümkün!,spam
Trendyol size özel kampanya hazırladı!,spam
Bugünkü müşteri geri bildirimi oldukça olumluydu.,ham
Hemen kaydolun ve 10 GB internet kazanın!,spam
Evden çalışarak 4500 TL kazanmak mümkün!,spam
"Bütçe revizyonunu yaptım, tabloları drive'a yükledim.",ham
Veritabanı yedeği başarıyla alındı.,ham
Sadece bugün: 62% indirim seni bekliyor!,spam
Slack üzerinden dosyayı paylaştım.,ham
Sadece bugün: 90% indirim seni bekliyor!,spam
Çalışma arkadaşlarımızla yıl sonu yemeği organize edeceğiz.,ham
"Bilgisayarınız virüsle dolu olabilir, hemen temizleyin!",spam
"Kargo bugün teslim edildi, kontrol edebilirsin.",ham
Sadece bugün: 52% indirim seni bekliyor!,spam
Bu mucizevi ürünle 3 günde 5 kilo verin!,spam
Yeni özellik önümüzdeki sürümde aktif olacak.,ham
Bu mucizevi ürünle 4 günde 5 kilo verin!,spam
"Bu anketi doldurun, kargo bedava kazanın!",spam
Ödeme işlemi başarıyla gerçekleşti.,ham
Evden çalışarak 2000 TL kazanmak mümkün!,spam
Bu mucizevi ürünle 13 günde cildinizi gençleştirin!,spam
Hepsiburada size özel kampanya hazırladı!,spam
"Sipariş kargoya verildi, takip numarası eklendi.",ham
Sadece bugün: 76% indirim seni bekliyor!,spam
Yeni kullanıcı kaydı başarıyla tamamlandı.,ham
Bu mucizevi ürünle 6 günde cildinizi gençleştirin!,spam
"Kargo bugün teslim edildi, kontrol edebilirsin.",ham
Bu mucizevi ürünle 13 günde saçlarınızı geri kazanın!,spam
Bugünkü kod revizyonu oldukça verimliydi.,ham
"Yeni tasarım taslağı onaylandı, uygulamaya geçebiliriz.",ham
"Ziraat Bankası hesabınız askıya alındı, doğrulamak için tıklayın.",spam
Bu mucizevi ürünle 12 günde saçlarınızı geri kazanın!,spam
"Toplantıyı saat 14:00’e aldık, lütfen ajandanı güncelle.",ham
"Önümüzdeki hafta izinliyim, o yüzden görev paylaşımını bugünden yapalım.",ham
Evden çalışarak 5500 TL kazanmak mümkün!,spam
"Önümüzdeki hafta izinliyim, o yüzden görev paylaşımını bugünden yapalım.",ham
Ödeme işlemi başarıyla gerçekleşti.,ham
Evden çalışarak 1500 TL kazanmak mümkün!,spam
Bu mucizevi ürünle 14 günde 5 kilo verin!,spam
Toplantı linki birazdan paylaşılacak.,ham
Bu mucizevi ürünle 8 günde saçlarınızı geri kazanın!,spam
"Ekibimize hoş geldin, umarım harika bir başlangıç yaparsın.",ham
Sadece bugün: 85% indirim seni bekliyor!,spam
Evden çalışarak 9500 TL kazanmak mümkün!,spam
Sadece bugün: 68% indirim seni bekliyor!,spam
Bu mucizevi ürünle 3 günde saçlarınızı geri kazanın!,spam
Evden çalışarak 8500 TL kazanmak mümkün!,spam
Cihazın yazılım güncellemesi başarılı.,ham
Evden çalışarak 6500 TL kazanmak mümkün!,spam
"Ekibimize hoş geldin, umarım harika bir başlangıç yaparsın.",ham
Toplantının notlarını e-posta olarak gönderdim.,ham
Evden çalışarak 8000 TL kazanmak mümkün!,spam
Sadece üyelerimize özel fırsat: 2000 TL çek seni bekliyor!,spam
Yeni kullanıcı kaydı başarıyla tamamlandı.,ham
Sadece üyelerimize özel fırsat: Samsung Galaxy seni bekliyor!,spam
Hafta sonu kampı için gereken ekipman listelendi.,ham
Bu mucizevi ürünle 4 günde cildinizi gençleştirin!,spam
Bugünkü kod revizyonu oldukça verimliydi.,ham
Hafta sonu kampı için gereken ekipman listelendi.,ham
"Bütçe revizyonunu yaptım, tabloları drive'a yükledim.",ham
Müşteri sunumu için slaytlar hazırlandı.,ham
Tebrikler! 2000 TL çek kazandınız!,spam
"Yeni tasarım taslağı onaylandı, uygulamaya geçebiliriz.",ham
Ödeme işlemi başarıyla gerçekleşti.,ham
Veritabanı yedeği başarıyla alındı.,ham
Sadece bugün: 60% indirim seni bekliyor!,spam
Bu mucizevi ürünle 9 günde cildinizi gençleştirin!,spam
Sadece bugün: 94% indirim seni bekliyor!,spam
Bu mucizevi ürünle 10 günde saçlarınızı geri kazanın!,spam
"Önümüzdeki hafta izinliyim, o yüzden görev paylaşımını bugünden yapalım.",ham
Yeni kullanıcı kaydı başarıyla tamamlandı.,ham
"Bütçe revizyonunu yaptım, tabloları drive'a yükledim.",ham
Çalışma arkadaşlarımızla yıl sonu yemeği organize edeceğiz.,ham
Gizli yatırım stratejileriyle zengin olun!,spam
"Yeni tasarım taslağı onaylandı, uygulamaya geçebiliriz.",ham
Bugünkü kod revizyonu oldukça verimliydi.,ham
Tebrikler! PS5 kazandınız!,spam
Sadece bugün: 71% indirim seni bekliyor!,spam
Toplantı linki birazdan paylaşılacak.,ham
Sadece bugün: 84% indirim seni bekliyor!,spam
Sadece bugün: 50% indirim seni bekliyor!,spam
Sadece üyelerimize özel fırsat: PS5 seni bekliyor!,spam
Amazon size özel kampanya hazırladı!,spam
Sadece bugün: 78% indirim seni bekliyor!,spam
Bu mucizevi ürünle 10 günde 5 kilo verin!,spam
Evden çalışarak 9000 TL kazanmak mümkün!,spam
Bu mucizevi ürünle 6 günde saçlarınızı geri kazanın!,spam
Sadece bugün: 55% indirim seni bekliyor!,spam
Raporu paylaşabilir misin? Pazartesiye sunumda kullanılacak.,ham
Sunucu bakım çalışması tamamlandı.,ham
Sadece üyelerimize özel fırsat: iPhone 15 seni bekliyor!,spam
"Ekibimize hoş geldin, umarım harika bir başlangıç yaparsın.",ham
Bu mucizevi ürünle 13 günde 5 kilo verin!,spam
Bu mucizevi ürünle 12 günde cildinizi gençleştirin!,spam
Bu mucizevi ürünle 11 günde 5 kilo verin!,spam
Sadece bugün: 73% indirim seni bekliyor!,spam
Sadece bugün: 58% indirim seni bekliyor!,spam
Sunucu bakım çalışması tamamlandı.,ham
Tıklayın ve bedava oyun içi para kazanın!,spam
Sadece bugün: 51% indirim seni bekliyor!,spam
Sadece bugün: 67% indirim seni bekliyor!,spam
Toplantı linki birazdan paylaşılacak.,ham
Bu eklentiyle internet hızınızı 10 kat arttırın!,spam
"Stok durumu güncellendi, sistemden kontrol edebilirsin.",ham
Hafta sonu kampı için gereken ekipman listelendi.,ham
Evden çalışarak 3000 TL kazanmak mümkün!,spam
"Kargo bugün teslim edildi, kontrol edebilirsin.",ham
Sadece bugün: 91% indirim seni bekliyor!,spam
Facebook girişiniz başarısız oldu. Şifrenizi yenileyin!,spam
Hafta sonu kampı için gereken ekipman listelendi.,ham
LC Waikiki size özel kampanya hazırladı!,spam
Çalışma arkadaşlarımızla yıl sonu yemeği organize edeceğiz.,ham
Cihazın yazılım güncellemesi başarılı.,ham
Müşteri sunumu için slaytlar hazırlandı.,ham
Cihazın yazılım güncellemesi başarılı.,ham
Evden çalışarak 5000 TL kazanmak mümkün!,spam
"Toplantıyı saat 14:00’e aldık, lütfen ajandanı güncelle.",ham
Bu mucizevi ürünle 4 günde saçlarınızı geri kazanın!,spam
Sadece bugün: 83% indirim seni bekliyor!,spam
"Sipariş kargoya verildi, takip numarası eklendi.",ham
Bu mucizevi ürünle 5 günde 5 kilo verin!,spam
Toplantının notlarını e-posta olarak gönderdim.,ham
Sadece bugün: 75% indirim seni bekliyor!,spam
Sadece bugün: 72% indirim seni bekliyor!,spam
Toplantı linki birazdan paylaşılacak.,ham
"Bu anketi doldurun, 1 aylık Netflix kazanın!",spam
Bu doğal çözümle cildinizi gençleştirin artık çok kolay!,spam
Pazartesi günü için görev ataması yapıldı.,ham
Sadece bugün: 81% indirim seni bekliyor!,spam
Bu mucizevi ürünle 5 günde saçlarınızı geri kazanın!,spam
Ziraat Bankası girişiniz başarısız oldu. Şifrenizi yenileyin!,spam
Raporu paylaşabilir misin? Pazartesiye sunumda kullanılacak.,ham
"Toplantıyı saat 14:00’e aldık, lütfen ajandanı güncelle.",ham
Sunucu bakım çalışması tamamlandı.,ham
Evden çalışarak 10000 TL kazanmak mümkün!,spam
"Yeni versiyonu test ettik, birkaç küçük hata dışında her şey stabil.",ham
"Kredi başvurunuz onaylandı, hemen tıklayın!",spam
Bu doğal çözümle 5 kilo verin artık çok kolay!,spam
"Hesabınızda şüpheli bir hareket var, hemen kontrol edin!",spam
Toplantının notlarını e-posta olarak gönderdim.,ham
Bu doğal çözümle saçlarınızı geri kazanın artık çok kolay!,spam
Bugün tıklayan ilk 100 kişiden biri olun!,spam
Bu mucizevi ürünle 8 günde 5 kilo verin!,spam
Raporu paylaşabilir misin? Pazartesiye sunumda kullanılacak.,ham
Slack üzerinden dosyayı paylaştım.,ham
"Önümüzdeki hafta izinliyim, o yüzden görev paylaşımını bugünden yapalım.",ham
Müşteri sunumu için slaytlar hazırlandı.,ham
"Kargo bugün teslim edildi, kontrol edebilirsin.",ham
Bu mucizevi ürünle 7 günde 5 kilo verin!,spam
Bu mucizevi ürünle 7 günde cildinizi gençleştirin!,spam
"Sipariş kargoya verildi, takip numarası eklendi.",ham
Sadece bugün: 63% indirim seni bekliyor!,spam
"Instagram hesabınız askıya alındı, doğrulamak için tıklayın.",spam
Sadece bugün: 61% indirim seni bekliyor!,spam
Instagram girişiniz başarısız oldu. Şifrenizi yenileyin!,spam
Tebrikler! Samsung Galaxy kazandınız!,spam
"Yeni versiyonu test ettik, birkaç küçük hata dışında her şey stabil.",ham
Bu mucizevi ürünle 11 günde cildinizi gençleştirin!,spam
Yeni özellik önümüzdeki sürümde aktif olacak.,ham
Sadece üyelerimize özel fırsat: Macbook seni bekliyor!,spam
Ödeme işlemi başarıyla gerçekleşti.,ham
Bu mucizevi ürünle 5 günde cildinizi gençleştirin!,spam
Hemen kaydolun ve 100 TL kazanın!,spam
Bugünkü müşteri geri bildirimi oldukça olumluydu.,ham
Evden çalışarak 6000 TL kazanmak mümkün!,spam
Bu mucizevi ürünle 14 günde cildinizi gençleştirin!,spam
Bugünkü kod revizyonu oldukça verimliydi.,ham
Sadece bugün: 86% indirim seni bekliyor!,spam
Raporu paylaşabilir misin? Pazartesiye sunumda kullanılacak.,ham
Hesabınızda olağan dışı bir işlem tespit edildi.,spam
Sadece bugün: 88% indirim seni bekliyor!,spam
Bu mucizevi ürünle 6 günde 5 kilo verin!,spam
