soru,secenek_a,secenek_b,secenek_c,secenek_d,dogru_cevap
En hızlı kara hayvanı nedir?,Yunus,Çita,Şahin,Tavşan,Çita
Dünyanın en büyük okyanusu hangisidir?,Hint Okyanusu,Atlas Okyanusu,Büyük Okyanus,Kuzey Buz Denizi,Büyük Okyanus
Güneş sisteminin en büyük gezegeni hangisidir?,Dünya,Mars,Jüpiter,Venüs,Jüpiter
İnsan vücudunda kaç tane kemik vardır?,206,201,196,210,206
Elektriği kim keşfetti?,Nikola Tesla,Thomas Edison,Benjamin Franklin,Albert Einstein,Benjamin Franklin
Dünyanın en yüksek dağı hangisidir?,K2,Everest,Kilimanjaro,Elbrus,Everest
Olimpiyat oyunları kaç yılda bir düzenlenir?,2,3,4,5,4
Su döngüsünde hangi aşama suyun buharlaşmasını içerir?,Yoğunlaşma,Yağış,Buharlaşma,Akış,Buharlaşma
Dünyanın en küçük ülkesi hangisidir?,Vatikan,Monako,Maldivler,Liechtenstein,Vatikan
Ay'a ilk ayak basan insan kimdir?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Michael Collins,Neil Armstrong
Dünya üzerinde en çok konuşulan dil hangisidir?,İngilizce,Çince,İspanyolca,Hintçe,Çince
En büyük memeli hayvan hangisidir?,Fil,Mavi Balina,Orca,Zürafa,Mavi Balina
Roma mitolojisinde savaş tanrısı kimdir?,Mars,Zeus,Apollon,Ares,Mars
Atomun çekirdeğinde hangi parçacıklar bulunur?,Elektron,Proton ve nötron,Proton ve elektron,Nötron ve elektron,Proton ve nötron
İstanbul'u fetheden Osmanlı padişahı kimdir?,Kanuni Sultan Süleyman,Fatih Sultan Mehmet,Yavuz Sultan Selim,II. Murad,Fatih Sultan Mehmet
En hızlı yırtıcı kuş hangisidir?,Kartal,Albatros,Şahin,Doğan,Şahin
Dünya'da kaç kıta vardır?,5,6,7,8,7
Dünya'nın en kurak kıtası hangisidir?,Asya,Avrupa,Antarktika,Afrika,Antarktika
En uzun nehir hangisidir?,Amazon,Nil,Mississippi,Yangtze,Nil
Dünyanın en büyük çölü hangisidir?,Sahra,Gobi,Atacama,Antarktika,Antarktika
Türk bayrağının rengi nedir?,Kırmızı ve beyaz,Yeşil ve beyaz,Siyah ve beyaz,Mavi ve beyaz,Kırmızı ve beyaz
Tarihte ilk yazıyı kimler bulmuştur?,Mısırlılar,Sümerler,Yunanlılar,Asurlular,Sümerler
Vücudumuzdaki en büyük organ hangisidir?,Kalp,Deri,Beyin,Karaciğer,Deri
Dünya'da en çok tüketilen içecek nedir?,Kahve,Su,Çay,Süt,Su
Hangisi gezegen değildir?,Ay,Venüs,Mars,Merkür,Ay
İlk Nobel Barış Ödülü hangi yıl verildi?,1901,1920,1945,1960,1901
Hangi gezegenin halkaları vardır?,Satürn,Jüpiter,Mars,Venüs,Satürn
Dünya'nın en derin noktası nerede bulunur?,Mariana Çukuru,Bermuda Üçgeni,Antarktika,Amazon,Mariana Çukuru
Bir yıl kaç hafta sürer?,52,48,50,54,52
Hangi hayvan yalnızca bambu yer?,Panda,Koala,Goril,Zebra,Panda
Albert Einstein'ın ünlü denklemi E=mc² neyi açıklar?,Görelilik,Kuvvet,Enerji,Kütle,Görelilik
Hangisi asal sayıdır?,17,13,19,15,17
Vücudumuzdaki en küçük kemik nerededir?,Kulak,Göz,Burun,Parmak,Kulak
